"","spp","sex","SV_length","weight"
"448","UTST","F",49,4
"449","UTST","M",45,3
"450","UTST","M",52,5
"451","UTST","F",44,3
"452","UTST","M",47,4
"453","UTST","M",52,5
"454","UTST","M",47,5
"455","UTST","F",32,2
"456","UTST","F",42,4
"457","UTST","M",43,4
"458","UTST","F",33,2
"459","UTST","M",42,5
"460","UTST","F",41,3
"461","UTST","F",36,3
"462","UTST","M",46,6
"463","UTST","M",46,5
"464","UTST","M",52,5
"465","UTST","F",36,2
"466","UTST","M",46,5
"467","UTST","F",45,4
"468","UTST","F",40,2
"469","UTST","M",42,2
"470","UTST","F",38,2
"471","UTST","F",39,2
"472","UTST","M",42,2
"473","UTST","F",37,2
"474","UTST","M",52,6
"475","UTST","M",47,5
"476","UTST","M",49,6
"477","UTST","F",45,4
"478","UTST","M",36,3
"479","UTST","F",44,4
"480","UTST","M",48,5
"481","UTST","F",44,3
"482","UTST","F",34,2
"483","UTST","M",32,2
"484","UTST","M",46,5
"485","UTST","M",46,4
"486","UTST","M",46,4
"487","UTST","M",47,5
"488","UTST","M",52,5
"489","UTST","F",49,4
"490","UTST","M",50,5
"491","UTST","M",54,6
"492","UTST","F",47,5
"493","UTST","M",41,3
"494","UTST","F",32,1
"495","UTST","F",43,3
"496","UTST","F",41,3
"497","UTST","F",46,4
"498","UTST","F",39,2
"499","UTST","F",47,4
"500","UTST","M",30,1
"501","UTST","F",45,3
"502","UTST","M",31,1
"503","UTST","F",38,3
"504","UTST","F",31,1
"505","UTST","F",32,2
"506","UTST","M",34,2
"507","UTST","M",47,4
"508","UTST","F",41,3
"509","UTST","F",45,4
"510","UTST","F",32,2
"511","UTST","F",40,2
"512","UTST","F",49,4
"513","UTST","F",45,4
"514","UTST","F",40,3
"515","UTST","M",46,4
"516","UTST","M",38,3
"517","UTST","M",50,5
"518","UTST","M",48,4
"519","UTST","M",44,3
"520","UTST","F",48,5
"521","UTST","M",50,6
"522","UTST","M",46,5
"523","UTST","M",47,5
"524","UTST","M",38,3
"525","UTST","F",46,4
"526","UTST","F",37,2
"527","UTST","M",52,6
"528","UTST","F",39,1
"529","UTST","F",42,2
"530","UTST","M",46,4
"531","COTE","F",65,8
"532","CNTE","F",60,7
"533","HOMA","F",50,4
"534","UTST","F",41,6
"535","CNTI","M",47,4
"536","CNTI","M",45,3
"537","CNTI","M",40,3
"538","UTST","F",44,4
"539","CNTI","F",53,4
"540","UTST","F",47,5
"541","UTST","M",55,6
"542","UTST","M",48,5
"543","UTST","F",44,3
"544","CNIN","F",45,3
"545","CNNE","F",41,2
"546","CNNE","F",43,3
"547","CNNE","F",43,2
"548","UTST","F",42,3
"549","UTST","M",45,3
"550","SCUN","F",65,10
"551","UTST","F",37,2
"552","CNIN","M",45,1
"553","COTE","M",47,3
"554","CNIN","F",53,2
"555","CNIN","M",55,4
"556","CNIN","F",54,3
"557","UTST","F",51,4
"558","CNTI","F",94,25
"559","PHMO","F",35,2
"560","CNTI","F",57,5
"561","UTST","F",47,5
"562","UTST","F",45,3
"563","COTE","F",45,3
"564","COTE","F",46,3
"565","COTE","F",43,3
"566","CNIN","F",57,4
"567","CNIN","F",57,4
"568","CNTI","F",60,5
"569","UTST","F",45,3
"570","UTST","F",46,3
"571","UTST","F",52,5
"572","COTE","F",46,3
"573","UTST","F",47,4
"574","PHMO","F",35,2
"575","COTE","F",43,2
"576","UTST","F",49,3
"577","CNTI","F",56,5
"578","CNTI","M",110,29
"579","CNTI","F",55,5
"580","HOMA","F",58,5
"581","UTST","F",48,4
"582","UTST","F",46,3
"583","UTST","F",47,3
"584","UTST","F",45,3
"585","UTST","F",51,3
"586","COTE","F",44,3
"587","UTST","F",45,3
"588","CNTI","F",59,7
"589","HOMA","F",51,5
"590","CNTI","M",61,7
"591","COTE","F",50,5
"592","PHMO","F",36,4
"593","COTE","F",52,5
"594","HOMA","F",57,10
"595","CNIN","F",50,3
"596","CNIN","M",50,4
"597","CNIN","F",45,2
"598","CNIN","F",43,3
"599","EUOB","F",85,21
"600","CNIN","F",50,4
"601","CNTI","M",73,12
"602","CNTI","F",68,22
"603","CNTI","M",70,10
"604","CNTI","F",83,18
"605","HOMA","M",52,5
"606","HOMA","M",52,6
"607","SCUN","M",45,3
"608","UTST","F",42,1
"609","CNTI","F",83,29
"610","UTST","F",45,4
"611","PHMO","F",47,4
"612","UTST","F",48,5
"613","COTE","M",55,3
